url,image,name,price
https://www.electronicmusicworks.com/eurorack/release-4x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/r/e/release_4x_b.jpg,RELEASE 4X,"
                                            MSRP $88.00                                    "
https://www.electronicmusicworks.com/eurorack/adsr.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/d/adsr.jpeg,ADSR,"
                                            MSRP $90.00                                    "
https://www.electronicmusicworks.com/eurorack/adsr-101.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/d/adsr_101_b.jpg,ADSR 101 ,"
                                            MSRP $79.00                                    "
https://www.electronicmusicworks.com/eurorack/adsr-102.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/d/adsr_102.jpeg,ADSR 102,"
                                            MSRP $94.00                                    "
https://www.electronicmusicworks.com/eurorack/asr-lfo.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/s/asr-lfo.jpeg,ASR-LFO,"
                                            MSRP $79.00                                    "
https://www.electronicmusicworks.com/eurorack/asr-77.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/s/asr_77.jpeg,ASR 77,"
                                            MSRP $68.00                                    "
https://www.electronicmusicworks.com/eurorack/adsr-sh.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/d/adsr_sh_b.jpg,ADSR SH,"
                                            MSRP $89.00                                    "
https://www.electronicmusicworks.com/eurorack/adsr-sh-4x.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/a/d/adsr_sh_4x.jpeg,ADSR SH 4X,"
                                            MSRP $232.00                                    "
https://www.electronicmusicworks.com/eurorack/system-mixer.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/s/y/system_mixer.jpeg,SYSTEM MIXER,"
                                            MSRP $129.00                                    "
https://www.electronicmusicworks.com/eurorack/mixer-3-ch.html,https://www.electronicmusicworks.com/media/catalog/product/cache/1/small_image/215x/9df78eab33525d08d6e5fb8d27136e95/m/i/mixer_3-ch_b.jpg,MIXER 3-CH,"
                                            MSRP $59.00                                    "
